    YEAR      WO    WOse      NH    NHse      SH    SHse
  1955.5  -0.693   0.201  -0.697   0.167   0.004   0.035
  1956.5  -1.131   0.215  -1.179   0.180   0.048   0.035
  1957.5  -3.551   0.312  -2.204   0.215  -1.347   0.097
  1958.5  -2.783   0.328  -1.565   0.239  -1.218   0.089
  1959.5  -2.701   0.369  -1.453   0.277  -1.248   0.092
  1960.5  -2.353   0.496  -1.397   0.270  -0.956   0.226
  1961.5  -1.938   0.392  -1.366   0.301  -0.572   0.091
  1962.5  -0.924   0.445  -1.482   0.218   0.558   0.227
  1963.5  -2.619   0.597  -1.733   0.313  -0.886   0.284
  1964.5  -1.085   0.423  -0.946   0.244  -0.139   0.178
  1965.5  -2.020   0.538  -1.307   0.274  -0.713   0.263
  1966.5  -1.193   0.484  -0.900   0.255  -0.293   0.229
  1967.5  -1.485   0.593  -0.743   0.287  -0.742   0.306
  1968.5  -2.603   0.518  -1.553   0.283  -1.051   0.235
  1969.5  -2.506   0.544  -1.114   0.260  -1.392   0.284
  1970.5  -1.966   0.614  -0.244   0.260  -1.722   0.353
  1971.5  -1.100   0.561  -0.901   0.247  -0.199   0.314
  1972.5  -2.478   0.485  -0.858   0.261  -1.620   0.224
  1973.5  -1.482   0.516  -0.382   0.303  -1.100   0.213
  1974.5  -0.559   0.522  -0.769   0.260   0.210   0.263
  1975.5  -0.170   0.473  -0.006   0.287  -0.164   0.186
  1976.5  -0.164   0.524   0.253   0.274  -0.418   0.250
  1977.5  -0.653   0.490   0.394   0.261  -1.047   0.229
  1978.5  -0.230   0.601   0.766   0.239  -0.996   0.361
  1979.5  -1.008   0.528  -0.439   0.264  -0.569   0.264
  1980.5   0.359   0.558   0.233   0.270   0.126   0.288
  1981.5  -1.127   0.427   0.386   0.190  -1.513   0.237
  1982.5  -2.503   0.443  -0.804   0.230  -1.699   0.212
  1983.5  -0.776   0.577   0.207   0.277  -0.983   0.300
  1984.5   0.176   0.563   0.232   0.236  -0.056   0.327
  1985.5   0.184   0.656   1.382   0.248  -1.198   0.408
  1986.5   0.328   0.602   0.413   0.242  -0.086   0.360
  1987.5  -0.364   0.693   0.312   0.262  -0.676   0.432
  1988.5  -0.427   0.529   0.084   0.249  -0.511   0.280
  1989.5  -0.675   0.494   0.192   0.230  -0.867   0.264
  1990.5  -0.319   0.553   0.509   0.244  -0.828   0.309
  1991.5  -0.776   0.517  -0.518   0.224  -0.258   0.293
  1992.5  -1.470   0.660   0.071   0.307  -1.541   0.353
  1993.5   1.173   0.567  -0.145   0.248   1.318   0.319
  1994.5   0.902   0.662   0.804   0.265   0.098   0.397
  1995.5   0.755   0.610  -0.141   0.254   0.896   0.356
  1996.5   1.517   0.719   1.096   0.285   0.421   0.434
  1997.5   1.439   0.711   0.311   0.252   1.128   0.459
  1998.5   1.162   0.666   0.301   0.232   0.860   0.434
  1999.5   0.714   0.672   0.210   0.285   0.505   0.387
  2000.5   1.343   0.707  -0.117   0.260   1.460   0.448
  2001.5   0.702   0.618   0.173   0.251   0.529   0.366
  2002.5   1.045   0.536   0.427   0.183   0.618   0.353
  2003.5   2.520   0.486   0.990   0.152   1.530   0.334
  2004.5   3.239   0.386   1.345   0.129   1.894   0.258
  2005.5   2.681   0.292   1.015   0.116   1.666   0.177
  2006.5   3.855   0.274   1.125   0.107   2.731   0.167
  2007.5   4.019   0.280   1.789   0.122   2.230   0.159
  2008.5   4.191   0.237   1.430   0.096   2.761   0.141
  2009.5   4.634   0.269   1.787   0.124   2.847   0.146
  2010.5   4.823   0.219   1.733   0.091   3.091   0.128
  2011.5   4.812   0.233   1.507   0.089   3.305   0.143
  2012.5   5.414   0.230   2.039   0.077   3.375   0.154
  2013.5   6.412   0.235   2.430   0.078   3.982   0.157
  2014.5   7.068   0.213   2.655   0.078   4.413   0.135
  2015.5   7.149   0.201   2.799   0.068   4.349   0.133
  2016.5   6.860   0.196   2.943   0.070   3.917   0.126
  2017.5   7.687   0.205   3.154   0.074   4.533   0.131
  2018.5   7.261   0.206   2.949   0.077   4.313   0.128
  2019.5   7.901   0.199   3.365   0.072   4.536   0.127
  2020.5   8.252   0.190   3.520   0.071   4.732   0.119
  2021.5   8.706   0.192   3.532   0.073   5.174   0.119
  2022.5   8.630   0.197   3.319   0.071   5.311   0.126
