Depth  Year  HC_anomaly(Joules)  +/-(1s.e.)  nProfs
700  1950  -2.0772925247313795e+23  2.838690906916204e+22  2691.0
700  1951  -1.0623736209133519e+23  2.700707191518869e+22  2973.0
700  1952  -1.7573027672544745e+23  2.951634019193735e+22  2489.0
700  1953  -1.728954883763844e+23  3.2853752954155023e+22  2009.0
700  1954  -1.4998380096349172e+23  3.1127548207569933e+22  2238.0
700  1955  -1.779449390633995e+23  2.7676108263184277e+22  2831.0
700  1956  -5.222490217961725e+22  3.090056272613263e+22  2271.0
700  1957  -1.3247180177573048e+23  2.6039684968814924e+22  3198.0
700  1958  -7.4930267896128056e+22  2.0323350342911815e+22  5250.0
700  1959  -1.1893529179869167e+23  2.405974770681086e+22  3746.0
700  1960  -1.1536728476299654e+23  2.0446398996988752e+22  5187.0
700  1961  -8.69114611788153e+22  2.1583164103941517e+22  4655.0
700  1962  -5.281828113130443e+22  1.960461936217254e+22  5642.0
700  1963  -1.0407540001438166e+23  1.7609344561522917e+22  6993.0
700  1964  -1.0686555399940175e+23  1.6658590481122467e+22  7814.0
700  1965  -9.965995466505215e+22  1.6316590389134862e+22  8145.0
700  1966  -7.895634610778362e+22  1.5513598946913198e+22  9010.0
700  1967  -1.1725192399126231e+23  1.5091543953023024e+22  9521.0
700  1968  -1.6145753852874743e+23  1.3862559293573289e+22  11284.0
700  1969  -1.7774084514794775e+23  1.1739656306526343e+22  15734.0
700  1970  -1.6788282771854826e+23  1.2026663746916416e+22  14992.0
700  1971  -1.6529496863682375e+23  1.1681152056673211e+22  15892.0
700  1972  -1.3304621960271026e+23  1.1167350308414687e+22  17388.0
700  1973  -1.6469785036165707e+23  1.1690719232744569e+22  15866.0
700  1974  -1.8538958088467192e+23  1.1475048408546902e+22  16468.0
700  1975  -8.487004744450447e+22  1.1753858563785676e+22  15696.0
700  1976  -1.124034753425663e+23  1.150021608485707e+22  16396.0
700  1977  -8.68002905845317e+22  1.0863287704935815e+22  18375.0
700  1978  -1.1776184067626728e+23  1.0937346931602615e+22  18127.0
700  1979  -1.3226362816193867e+23  1.0380230823781041e+22  20125.0
700  1980  -5.407610632574092e+22  1.150969674641534e+22  16369.0
700  1981  -5.616326276832755e+22  1.1044180720233707e+22  17778.0
700  1982  -9.446202176064242e+22  1.069833490255416e+22  18946.0
700  1983  -8.189912430636733e+22  9.92804221314979e+21  22000.0
700  1984  -1.2353858207692673e+23  9.594336902258654e+21  23557.0
700  1985  -1.0871997580003793e+23  8.929567487490934e+21  27195.0
700  1986  -8.757453544852964e+22  9.189910291415918e+21  25676.0
700  1987  -1.1667627800733238e+23  9.259411154442093e+21  25292.0
700  1988  -9.454307968602298e+22  9.501814229328734e+21  24018.0
700  1989  -8.22782109817837e+22  9.369337791558689e+21  24702.0
700  1990  -1.4289243034248637e+23  8.541391623192476e+21  29723.0
700  1991  -1.1509426784889143e+23  8.407257624913315e+21  30679.0
700  1992  -1.136998651928511e+23  8.169586958026325e+21  32490.0
700  1993  -1.1751763761432858e+23  7.575769220450476e+21  37783.0
700  1994  -1.1551945854319245e+23  7.451664876789549e+21  39052.0
700  1995  -1.341767272743394e+23  7.140729502381219e+21  42527.0
700  1996  -9.682794414256748e+22  8.361324151359356e+21  31017.0
700  1997  -1.214089177718362e+23  7.741991287979632e+21  36178.0
700  1998  -9.688300803973343e+22  7.236308882178165e+21  41411.0
700  1999  -4.853983604278087e+22  7.338382048945028e+21  40267.0
700  2000  -4.746824382224351e+22  7.215083907777886e+21  41655.0
700  2001  -4.3424325834253525e+22  6.957611662221327e+21  44795.0
700  2002  -1.2576161836913276e+22  6.636146016931758e+21  49240.0
700  2003  3.2617865070805904e+21  6.043947638539564e+21  59362.0
700  2004  -2.4512334360168366e+21  5.180920198058824e+21  80786.0
700  2005  -1.5410037445609415e+22  4.49176666476807e+21  107477.0
700  2006  -6.159373610898607e+21  4.2937629114312803e+21  117618.0
700  2007  -1.2403025125796596e+22  3.9718524324969636e+21  137456.0
700  2008  3.769149596942285e+21  3.7190413792022196e+21  156779.0
700  2009  6.297896852213312e+21  3.7370815710382286e+21  155269.0
700  2010  1.0555748373608526e+22  3.7161388903100994e+21  157024.0
700  2011  1.387452642958065e+22  3.6705472088969246e+21  160949.0
700  2012  1.3774527398319867e+22  3.5318832941664095e+21  173835.0
700  2013  3.7906142634197754e+22  3.366220541956425e+21  191366.0
700  2014  3.9715293841000065e+22  3.311170722600301e+21  197782.0
700  2015  5.035494106492303e+22  3.2036096623095364e+21  211286.0
700  2016  4.105445641496216e+22  3.2238754123959385e+21  208638.0
700  2017  5.981882987740763e+22  3.346742347317425e+21  193600.0
700  2018  6.9830231443829976e+22  3.3034049519836966e+21  198713.0
700  2019  8.049578689683634e+22  3.3463534600337317e+21  193645.0
700  2020  8.894982130442751e+22  3.589032774844915e+21  168343.0
700  2021  9.609742077144492e+22  3.6473811834668853e+21  163000.0
700  2022  1.0607471451013144e+23  3.657391002079708e+21  162109.0
