Depth  Year  HC_anomaly(Joules)  +/-(1s.e.)  nProfs
700  1950  -2.1508023443885105e+23  2.8490059970739907e+22  2691.0
700  1951  -1.1224887674255408e+23  2.7105208834930206e+22  2973.0
700  1952  -1.8352612465599035e+23  2.9623595162693746e+22  2489.0
700  1953  -1.784778833412746e+23  3.297313524509697e+22  2009.0
700  1954  -1.5448959435635235e+23  3.1240657903792807e+22  2238.0
700  1955  -1.849610386709805e+23  2.777667629306589e+22  2831.0
700  1956  -5.435474651738617e+22  3.1012847614096226e+22  2271.0
700  1957  -1.3657216303872594e+23  2.6134306647236927e+22  3198.0
700  1958  -8.01275445672556e+22  2.039720029627752e+22  5250.0
700  1959  -1.2336575523678779e+23  2.4147174790247343e+22  3746.0
700  1960  -1.2058666273561708e+23  2.052069607827441e+22  5187.0
700  1961  -9.268544450794388e+22  2.166159190426315e+22  4655.0
700  1962  -5.812044702658608e+22  1.9675857627577626e+22  5642.0
700  1963  -1.1027212288815114e+23  1.7673332499177236e+22  6993.0
700  1964  -1.1314721803895517e+23  1.6719123617116867e+22  7814.0
700  1965  -1.0365994479618853e+23  1.6375880782647424e+22  8145.0
700  1966  -8.55084415004264e+22  1.5569971471100051e+22  9010.0
700  1967  -1.2227025046866197e+23  1.5146382835310754e+22  9521.0
700  1968  -1.6711203774211598e+23  1.3912932354121194e+22  11284.0
700  1969  -1.8320884512750733e+23  1.1782315270532676e+22  15734.0
700  1970  -1.728709218704863e+23  1.207036562391351e+22  14992.0
700  1971  -1.7034065028119766e+23  1.1723598430921931e+22  15892.0
700  1972  -1.3850033955733876e+23  1.1207929656090133e+22  17388.0
700  1973  -1.6977383141102483e+23  1.1733200371709477e+22  15866.0
700  1974  -1.9162712669403603e+23  1.1516745853876629e+22  16468.0
700  1975  -9.07141336363178e+22  1.179656913522969e+22  15696.0
700  1976  -1.1618996300565055e+23  1.1542004983204653e+22  16396.0
700  1977  -9.261411830033685e+22  1.0902762165439203e+22  18375.0
700  1978  -1.244409982789355e+23  1.0977090504744585e+22  18127.0
700  1979  -1.3688148816722942e+23  1.0417949976840316e+22  20125.0
700  1980  -5.920569489918771e+22  1.1551520095107092e+22  16369.0
700  1981  -6.141413681158776e+22  1.1084312500545029e+22  17778.0
700  1982  -9.901656865659006e+22  1.0737209965981876e+22  18946.0
700  1983  -8.873824970831422e+22  9.964118226311156e+21  22000.0
700  1984  -1.2920881603015209e+23  9.629200314090446e+21  23557.0
700  1985  -1.1407173077003204e+23  8.962015294146845e+21  27195.0
700  1986  -9.374804377509101e+22  9.223304118467312e+21  25676.0
700  1987  -1.2130011894168446e+23  9.293057530182889e+21  25292.0
700  1988  -1.0007305298153051e+23  9.536341436993108e+21  24018.0
700  1989  -8.71797481627407e+22  9.403383613103834e+21  24702.0
700  1990  -1.4901624807474448e+23  8.572428896201501e+21  29723.0
700  1991  -1.2034780847750213e+23  8.437807488644318e+21  30679.0
700  1992  -1.1844101907285924e+23  8.199273186216441e+21  32490.0
700  1993  -1.2311166104184285e+23  7.603297664048595e+21  37783.0
700  1994  -1.205641680309314e+23  7.478742356356776e+21  39052.0
700  1995  -1.3968010068593377e+23  7.166677120852103e+21  42527.0
700  1996  -1.0125854425029657e+23  8.391707104378165e+21  31017.0
700  1997  -1.2622084925936497e+23  7.770123740844345e+21  36178.0
700  1998  -1.0176996946949689e+23  7.262603812121893e+21  41411.0
700  1999  -5.358075727964807e+22  7.365047887153312e+21  40267.0
700  2000  -5.210880539600539e+22  7.24130171149276e+21  41655.0
700  2001  -4.774697792298277e+22  6.982893876429229e+21  44795.0
700  2002  -1.6676417119512135e+22  6.660260105682355e+21  49240.0
700  2003  -1.1655177765610224e+21  6.065909827042927e+21  59362.0
700  2004  -6.973874538592931e+21  5.199746361489674e+21  80786.0
700  2005  -2.0057687208706303e+22  4.508088617257485e+21  107477.0
700  2006  -1.0753638746980144e+22  4.309365367986048e+21  117618.0
700  2007  -1.6859493329125367e+22  3.9862851471806263e+21  137456.0
700  2008  -1.075950844949244e+21  3.73255544198149e+21  156779.0
700  2009  1.7182730340042445e+21  3.7506611873459926e+21  155269.0
700  2010  6.154317822222053e+21  3.729642406173349e+21  157024.0
700  2011  9.045802393490927e+21  3.683885056034821e+21  160949.0
700  2012  8.999715794982463e+21  3.5447172714470446e+21  173835.0
700  2013  3.3139452596212476e+22  3.3784525423819295e+21  191366.0
700  2014  3.482104783381929e+22  3.3232026858014476e+21  197782.0
700  2015  4.567169596479749e+22  3.215250775618692e+21  211286.0
700  2016  3.614222823904523e+22  3.2355901663535867e+21  208638.0
700  2017  5.485261027738768e+22  3.3589035688732325e+21  193600.0
700  2018  6.533193781883262e+22  3.315408696323867e+21  198713.0
700  2019  7.591701924252786e+22  3.358513268470772e+21  193645.0
700  2020  8.397662165286359e+22  3.6020744189920737e+21  168343.0
700  2021  9.140440287608237e+22  3.660634851083747e+21  163000.0
700  2022  1.0123313859244678e+23  3.6707036863638164e+21  162107.0
700  2023  1.1485176778613695e+23  3.6715644499676365e+21  162031.0
