Depth  Year  HC_anomaly(Joules)  +/-(1s.e.)  nProfs
2000  1993  -6.673897188421655e+22  7.413387719785188e+21  4388.0
2000  1994  -5.5071922544737086e+22  7.63866248490108e+21  4133.0
2000  1995  -7.549389187157916e+22  6.991888050003943e+21  4933.0
2000  1996  -6.3749161741310386e+22  8.152980142484384e+21  3628.0
2000  1997  -6.118244514842913e+22  9.280492157500243e+21  2800.0
2000  1998  -4.517468613063584e+22  9.765075581619596e+21  2529.0
2000  1999  -3.615602635656842e+22  1.0053442632624458e+22  2386.0
2000  2000  -4.386331665344648e+22  9.354281113591751e+21  2756.0
2000  2001  -3.025144814752413e+22  8.002208555989343e+21  3766.0
2000  2002  -4.061761653557166e+22  8.021401089087447e+21  3748.0
2000  2003  -3.441806136505684e+22  6.774932763867613e+21  5254.0
2000  2004  -1.6967581639587043e+22  6.46602527500486e+21  5768.0
2000  2005  -2.731100262529029e+22  5.776982409257966e+21  7226.0
2000  2006  -1.7760031576984197e+22  6.05853106357291e+21  6570.0
2000  2007  -2.348342049024421e+22  5.312439414797187e+21  8545.0
2000  2008  -1.7573718424024475e+22  4.807328468818136e+21  10435.0
2000  2009  -2.9008200766603666e+22  4.308360324091212e+21  12992.0
2000  2010  -1.6363624303787262e+22  4.2904001627068464e+21  13101.0
2000  2011  -8.67344572858338e+21  4.023468586216005e+21  14897.0
2000  2012  -1.1419034004947865e+22  3.9374496746193216e+21  15555.0
2000  2013  -6.720925744543735e+20  3.6734623778965197e+21  17871.0
2000  2014  -7.162940777009015e+21  3.312274343493183e+21  21981.0
2000  2015  1.7198599091725308e+21  2.9611471483616436e+21  27503.0
2000  2016  1.0777833740782034e+21  2.8643143502865493e+21  29394.0
2000  2017  4.7085007777726e+21  2.717951402995528e+21  32645.0
2000  2018  6.238095218953211e+21  2.594845371434008e+21  35816.0
2000  2019  9.013038188573756e+21  2.513130263333472e+21  38183.0
2000  2020  9.439457893193827e+21  2.399901168222047e+21  41871.0
2000  2021  1.4418917813220073e+22  2.3144472044670503e+21  45020.0
2000  2022  1.498908407685669e+22  2.221819886034182e+21  48852.0
2000  2023  1.283984528909193e+22  2.1257172220082677e+21  53369.0
