    YEAR      WO    WOse      NH    NHse      SH    SHse
1955.500  -3.201   1.700  -1.439   0.937  -1.762   0.771
1956.500  -2.608   0.719  -1.843   0.385  -0.765   0.533
1957.500  -4.613   0.396  -2.242   0.186  -2.371   0.278
1958.500  -1.533   0.687  -0.190   0.163  -1.343   0.676
1959.500  -2.189   0.863  -0.554   0.545  -1.636   0.419
1960.500  -1.442   0.499   0.295   0.695  -1.737   0.586
1961.500  -2.115   0.421  -1.282   0.602  -0.833   0.282
1962.500  -1.075   0.947  -0.468   0.581  -0.607   0.471
1963.500  -2.272   0.650  -1.911   0.385  -0.361   0.744
1964.500  -3.121   0.922  -1.232   0.376  -1.890   0.705
1965.500  -3.060   0.307  -1.157   0.371  -1.903   0.331
1966.500  -3.944   0.456  -1.383   0.497  -2.560   0.262
1967.500  -4.361   0.372  -2.207   0.107  -2.154   0.476
1968.500  -5.728   0.858  -3.395   0.290  -2.333   0.908
1969.500  -4.481   0.533  -4.010   0.359  -0.471   0.472
1970.500  -5.298   0.862  -2.745   0.636  -2.553   0.333
1971.500  -3.767   0.510  -2.656   0.367  -1.111   0.354
1972.500  -5.239   1.154  -4.314   0.450  -0.925   0.799
1973.500  -3.519   1.256  -1.925   0.959  -1.594   0.655
1974.500  -2.775   0.729  -2.323   0.146  -0.452   0.866
1975.500  -1.551   0.467  -1.196   0.346  -0.355   0.246
1976.500  -2.603   0.616  -2.566   0.821  -0.037   1.084
1977.500   0.032   0.717  -0.147   0.255   0.179   0.701
1978.500   0.052   0.432   0.133   0.549  -0.081   0.629
1979.500  -0.960   0.500  -1.177   0.331   0.217   0.310
1980.500   1.091   0.422   0.610   0.445   0.480   0.700
1981.500   0.122   0.549   0.572   0.311  -0.450   0.465
1982.500  -2.306   0.916  -2.279   0.316  -0.027   0.873
1983.500  -2.763   1.871  -0.332   0.569  -2.431   1.694
1984.500  -0.459   1.262   0.135   0.453  -0.594   1.031
1985.500   0.110   1.227  -0.119   0.459   0.229   0.983
1986.500  -1.037   1.109  -1.143   0.261   0.106   1.007
1987.500  -0.893   0.531  -0.596   0.212  -0.297   0.428
1988.500   1.088   0.422   0.210   0.417   0.878   0.334
1989.500   0.903   0.521   0.125   0.232   0.778   0.333
1990.500   0.177   0.906  -0.418   0.301   0.596   0.696
1991.500   2.646   0.281   0.993   0.326   1.652   0.342
1992.500   0.572   0.358   1.651   0.226  -1.079   0.375
1993.500   0.684   0.439   1.100   0.294  -0.416   0.437
1994.500   1.510   0.746   0.734   0.307   0.776   0.518
1995.500   2.264   0.649   0.942   0.308   1.322   0.706
1996.500   4.544   1.065   3.002   0.347   1.542   0.745
1997.500   3.245   0.539   0.834   0.472   2.411   0.657
1998.500   4.304   0.557   3.061   0.693   1.243   0.447
1999.500   5.943   0.269   4.336   0.257   1.607   0.096
2000.500   5.672   0.532   3.857   0.232   1.815   0.565
2001.500   4.117   1.115   4.045   0.561   0.071   0.680
2002.500   6.789   0.523   4.129   0.235   2.660   0.433
2003.500   9.952   0.622   5.656   0.262   4.295   0.479
2004.500  10.240   0.283   6.286   0.159   3.955   0.429
2005.500   8.412   0.317   5.218   0.113   3.194   0.350
2006.500  10.430   0.199   5.892   0.261   4.538   0.355
2007.500   9.478   0.233   5.661   0.226   3.818   0.232
2008.500  10.052   0.464   6.072   0.326   3.980   0.162
2009.500  10.126   0.357   5.463   0.235   4.663   0.449
2010.500  10.367   0.366   5.402   0.111   4.965   0.474
2011.500  10.869   0.445   4.726   0.209   6.144   0.280
2012.500  10.941   0.361   5.024   0.173   5.917   0.260
2013.500  12.601   0.602   6.217   0.100   6.384   0.625
2014.500  13.261   0.478   5.207   0.346   8.053   0.307
2015.500  15.122   0.264   5.587   0.284   9.534   0.219
2016.500  13.972   0.570   6.930   0.334   7.043   0.813
2017.500  15.878   0.352   7.852   0.175   8.026   0.439
2018.500  16.722   0.549   7.332   0.399   9.389   0.376
2019.500  17.726   0.228   8.188   0.230   9.537   0.306
2020.500  17.524   0.682   8.314   0.167   9.210   0.569
2021.500  18.735   0.367   8.833   0.348   9.902   0.290
2022.500  19.687   0.320   9.055   0.180  10.632   0.274
2023.500  20.637   0.496   9.009   0.269  11.628   0.398
