    YEAR      WO    WOse      NH    NHse      SH    SHse
1955.500  -3.205   1.703  -1.441   0.940  -1.764   0.772
1956.500  -2.611   0.722  -1.845   0.387  -0.766   0.535
1957.500  -4.623   0.398  -2.246   0.187  -2.377   0.279
1958.500  -1.536   0.689  -0.191   0.163  -1.344   0.678
1959.500  -2.195   0.865  -0.555   0.547  -1.639   0.419
1960.500  -1.448   0.500   0.293   0.696  -1.741   0.587
1961.500  -2.121   0.423  -1.287   0.604  -0.834   0.284
1962.500  -1.080   0.949  -0.472   0.582  -0.609   0.472
1963.500  -2.281   0.653  -1.918   0.386  -0.363   0.746
1964.500  -3.126   0.923  -1.234   0.377  -1.892   0.706
1965.500  -3.064   0.307  -1.158   0.372  -1.906   0.332
1966.500  -3.949   0.458  -1.384   0.499  -2.565   0.262
1967.500  -4.367   0.373  -2.211   0.107  -2.156   0.477
1968.500  -5.742   0.859  -3.403   0.290  -2.338   0.910
1969.500  -4.489   0.535  -4.019   0.360  -0.470   0.472
1970.500  -5.310   0.863  -2.750   0.637  -2.559   0.334
1971.500  -3.768   0.512  -2.658   0.368  -1.110   0.354
1972.500  -5.248   1.157  -4.321   0.451  -0.926   0.801
1973.500  -3.526   1.260  -1.929   0.961  -1.597   0.658
1974.500  -2.778   0.730  -2.327   0.147  -0.451   0.868
1975.500  -1.552   0.468  -1.197   0.346  -0.355   0.247
1976.500  -2.606   0.618  -2.570   0.823  -0.036   1.087
1977.500   0.029   0.719  -0.148   0.256   0.178   0.703
1978.500   0.049   0.434   0.132   0.551  -0.084   0.630
1979.500  -0.967   0.502  -1.183   0.332   0.216   0.311
1980.500   1.091   0.422   0.612   0.447   0.479   0.701
1981.500   0.119   0.551   0.571   0.312  -0.452   0.466
1982.500  -2.313   0.919  -2.285   0.316  -0.028   0.875
1983.500  -2.771   1.876  -0.334   0.569  -2.437   1.699
1984.500  -0.459   1.266   0.135   0.454  -0.594   1.034
1985.500   0.111   1.230  -0.119   0.460   0.229   0.986
1986.500  -1.041   1.112  -1.146   0.261   0.105   1.009
1987.500  -0.899   0.534  -0.598   0.212  -0.301   0.429
1988.500   1.088   0.423   0.209   0.417   0.879   0.335
1989.500   0.901   0.524   0.123   0.233   0.778   0.335
1990.500   0.168   0.909  -0.424   0.302   0.592   0.698
1991.500   2.646   0.282   0.994   0.328   1.651   0.343
1992.500   0.568   0.358   1.653   0.226  -1.085   0.375
1993.500   0.683   0.440   1.101   0.295  -0.418   0.438
1994.500   1.511   0.749   0.735   0.308   0.777   0.519
1995.500   2.151   0.900   1.018   0.295   1.132   0.789
1996.500   4.133   1.107   2.818   0.305   1.315   0.805
1997.500   1.763   0.255   0.160   0.637   1.603   0.701
1998.500   2.880   0.577   2.937   0.429  -0.057   0.478
1999.500   3.891   0.249   3.689   0.300   0.201   0.199
2000.500   4.074   0.920   3.530   0.110   0.543   0.973
2001.500   3.205   1.203   3.126   0.549   0.079   0.849
2002.500   6.469   0.650   4.074   0.321   2.394   0.361
2003.500   8.648   0.969   4.971   0.369   3.677   0.669
2004.500   9.923   0.564   6.052   0.238   3.871   0.761
2005.500   8.216   0.460   5.132   0.142   3.085   0.539
2006.500   9.678   0.131   5.617   0.220   4.062   0.300
2007.500   9.078   0.356   5.454   0.278   3.624   0.263
2008.500   9.740   0.386   5.939   0.381   3.801   0.167
2009.500   9.953   0.279   5.227   0.145   4.726   0.384
2010.500  10.388   0.367   5.412   0.112   4.977   0.476
2011.500  10.894   0.446   4.735   0.209   6.159   0.281
2012.500  10.965   0.362   5.033   0.173   5.931   0.261
2013.500  12.667   0.753   6.203   0.182   6.463   0.675
2014.500  13.291   0.480   5.217   0.347   8.074   0.308
2015.500  15.133   0.263   5.591   0.284   9.542   0.219
2016.500  13.980   0.563   6.935   0.334   7.045   0.806
2017.500  15.820   0.267   7.835   0.168   7.985   0.363
2018.500  16.837   0.475   7.290   0.400   9.547   0.344
2019.500  17.737   0.228   8.194   0.230   9.543   0.306
2020.500  17.535   0.682   8.319   0.167   9.216   0.569
2021.500  18.747   0.367   8.838   0.348   9.909   0.291
2022.500  19.701   0.321   9.061   0.180  10.640   0.275
