Changes in global ocean heat content in Zettajoules (ZJ) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
1971.5,0.0,16.195114578441316,0.0,15.156997974651123,0.0,0.0,0.0,31.35211255309244
1972.5,7.7216633333333675,17.106345467737118,-0.2369766666666635,15.908805951149398,0.0,0.0,7.484686666666704,33.01515141888652
1973.5,9.279263333333347,19.074253192851437,-3.9986966666666603,18.466059777312662,0.0,0.0,5.280566666666687,37.540312970164095
1974.5,12.678353333333348,17.54151336884293,1.4892533333333375,19.038280192796137,0.0,0.0,14.167606666666686,36.579793561639065
1975.5,13.612923333333356,15.635236277603529,4.3499300000000005,19.338133516596532,0.0,0.0,17.962853333333356,34.97336979420006
1976.5,15.473610000000008,19.57547803810302,7.7102833333333365,18.010880566631275,0.0,0.0,23.183893333333344,37.5863586047343
1977.5,13.817683333333349,17.72991764069332,5.983394666666669,18.218038256895927,0.0,0.0,19.801078000000018,35.947955897589246
1978.5,16.63669333333337,17.75957989922793,4.365554666666668,17.27445806318425,0.0,0.0,21.002248000000037,35.034037962412185
1979.5,26.108706666666677,18.416604664531967,7.385084666666657,17.350148763399243,0.0,0.0,33.493791333333334,35.76675342793121
1980.5,38.600570000000005,22.13677562325277,9.47720666666666,15.889671429184572,0.0,0.0,48.077776666666665,38.02644705243734
1981.5,45.53776000000002,25.560820631764628,8.80728666666667,14.587481523724303,0.0,0.0,54.34504666666669,40.148302155488935
1982.5,40.63671000000002,23.966732520175928,6.10123333333334,14.045807115646777,0.0,0.0,46.73794333333336,38.012539635822705
1983.5,34.886709999999994,19.980706137423848,6.016923333333324,14.795574648263106,0.0,0.0,40.90363333333332,34.77628078568695
1984.5,36.053043333333335,19.559480821308636,11.13085666666666,16.649569501239586,0.0,0.0,47.183899999999994,36.20905032254822
1985.5,40.84209333333334,17.828514641496874,16.212576666666664,16.323359172707576,0.0,0.0,57.05467,34.15187381420445
1986.5,39.70666,15.335490808611967,16.717133333333337,14.47628284470568,0.0,0.0,56.423793333333336,29.811773653317648
1987.5,41.335893333333345,15.027866695051307,17.783199999999994,13.129423703798293,0.0,0.0,59.11909333333334,28.1572903988496
1988.5,44.25356000000001,16.836369865197764,17.640933333333322,12.307133881947799,0.0,0.0,61.89449333333333,29.143503747145562
1989.5,50.96386000000001,19.163633099426765,19.899069999999995,11.688845613451452,0.0,0.0,70.86293,30.852478712878217
1990.5,54.20409333333335,19.59400612916951,21.07486999999999,10.924809953798215,0.0,0.0,75.27896333333334,30.518816082967724
1991.5,61.61066000000001,22.465623616187244,26.03483666666665,9.021829131430872,0.0,0.0,87.64549666666666,31.487452747618114
1992.5,67.10969333333335,20.972358819487553,33.75520333333333,8.30385751398232,1.15,0.34650455927051665,102.01489666666669,29.622720892740393
1993.5,70.53092666666669,21.523299055432343,40.33723666666666,8.246620171587926,2.3,0.6930091185410333,113.16816333333334,30.462928345561302
1994.5,64.62206000000002,22.91437188460587,37.70800333333333,9.697173433683947,3.4499999999999997,1.0395136778115501,105.78006333333336,33.65105899610136
1995.5,66.09242666666668,22.75622479665598,36.84603666666666,10.317712818642901,4.6,1.3860182370820666,107.53846333333334,34.45995585238095
1996.5,67.30822666666668,23.776885643817,38.25910333333333,10.529962582846617,5.75,1.7325227963525833,111.31733000000001,36.0393710230162
1997.5,74.75942666666667,21.478066704447304,38.27733666666667,11.386645663143517,6.9,2.0790273556231,119.93676333333335,34.943739723213916
1998.5,82.18552666666668,17.941252496321557,39.08757,11.56605943244748,8.05,2.4255319148936163,129.3230966666667,31.932843843662653
1999.5,85.77992666666667,13.910274281042607,36.52703666666666,12.847580039702027,9.200000000000001,2.7720364741641332,131.50696333333332,29.529890794908766
